,Unnamed: 0,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,G33,G34,G35,G36,G37,G38,G39,G40,G41,G42,G43,G44,G45,G46,G47,G48,G49,G50,G51,G52,G53,G54,G55,G56,G57,G58,G59,G60,G61,G62,G63,G64,G65,G66,G67,G68,G69,G70,G71,G72,G73,G74,G75,G76,G77,G78,G79,G80,G81,G82,G83,G84,G85,G86,G87,G88,G89,G90,G91,G92,G93,G94,G95,G96,G97,G98,G99,G100,G0
G22,0.0,0.155514543,0.117024613,0.070114196,0.202247908,0.119121785,0.043149487,0.102624873,0.142816571,0.071086914,0.154681669,0.10907477,0.179222521,0.122534905,0.058862624,0.052344117,0.12227971,0.106604701,0.109058547,0.089895737,0.041134498,0.034318916,0.0,0.18538685,0.109902216,0.159077211,0.080949502,0.076878838,0.085163518,0.098080553,0.063729206,0.15389028,0.010306538,0.071846715,0.023194455,0.069247612,0.031723771,0.125301081,0.066939977,0.038836138,0.044696458,0.01439067,0.098047003,0.050897507,0.125521216,0.114150558,0.100939812,0.123053578,0.167827666,0.151792715,0.140258174,0.07415131,0.113096661,0.163466083,0.135826243,0.080352629,0.157425475,0.109373841,0.124910801,0.149418824,0.203655461,0.053425477,0.131887524,0.08953662,0.098027,0.109150669,0.163758505,0.129855891,0.120260528,0.107935856,0.082316042,0.088418757,0.068081175,0.113200185,0.092224158,0.088422325,0.080364031,0.073313656,0.01759221,0.020714894,0.031481214,0.160060323,0.087406622,0.07138158,0.129754799,0.091353906,0.159862779,0.069204499,0.165038813,0.084092866,0.105837823,0.038461646,0.075010973,0.073735065,0.131182065,0.101034283,0.008986486,0.069948888,0.076235254,0.043682472,0.101812753,0.136792277
G23,0.0,0.172783252,0.173556511,0.149313352,0.212060508,0.149581914,0.071755243,0.066847684,0.195539817,0.03376622,0.156499935,0.057080743,0.145465468,0.087273522,0.048963208,0.048963208,0.133742559,0.082208207,0.131681382,0.059840757,0.021539776,0.009950472,0.18538685,0.0,0.22179442,0.200895697,0.050594221,0.112051926,0.105218945,0.20722404,0.060060111,0.093900642,0.005311389,0.060516278,0.023687987,0.073813691,0.120326448,0.184815949,0.053466633,0.03700563,0.081495772,0.019611547,0.029614667,0.072384056,0.090062816,0.091075932,0.109193717,0.191692137,0.208708042,0.182781689,0.13966396,0.123239494,0.073249949,0.067688091,0.125690485,0.128377248,0.08737708,0.129328789,0.089465577,0.174654784,0.225284735,0.176299356,0.174179186,0.038841453,0.120266316,0.059065032,0.142174433,0.132859356,0.224239829,0.188341552,0.174459459,0.185189159,0.18157461,0.217302507,0.212109511,0.20684,0.205220432,0.205670035,0.064925173,0.021587373,0.022649244,0.122176808,0.053528887,0.080491886,0.052741718,0.081603444,0.078501349,0.041139233,0.091881305,0.210571106,0.060330882,0.095104704,0.057563746,0.049591182,0.174509557,0.100165095,0.08055102,0.060065264,0.05106929,0.063969986,0.091664257,0.169397975
G24,0.0,0.19695252,0.196808402,0.079334968,0.228959469,0.148730706,0.02583658,0.10456977,0.194116883,0.038281566,0.15924008,0.080850055,0.09617077,0.045599522,0.013266826,0.013266826,0.085871808,0.075369359,0.135181035,0.134459639,0.133530596,0.018769415,0.109902216,0.22179442,0.0,0.265776887,0.109294178,0.069291628,0.202439529,0.230227573,0.055226906,0.183040956,0.012158111,0.10480059,0.035093586,0.11587915,0.118672254,0.233559612,0.029319256,0.082717566,0.0621819,0.031908429,0.099803931,0.112111658,0.232828221,0.095759646,0.092226293,0.218055559,0.248418874,0.107976091,0.272335169,0.147455641,0.093930675,0.13472577,0.204601833,0.107884751,0.089266259,0.065721683,0.151843239,0.358079868,0.403550661,0.374655686,0.334587558,0.165095478,0.218534031,0.086110802,0.134167155,0.168941322,0.248520107,0.226603935,0.163654741,0.23443514,0.200437554,0.205848937,0.231687451,0.355506705,0.182719046,0.18157461,0.191083322,0.158931454,0.163837593,0.169585775,0.058642963,0.120501548,0.076574632,0.110105298,0.133824676,0.05225646,0.108708212,0.187750166,0.096249629,0.11937779,0.062490072,0.109468458,0.24626988,0.158532445,0.093429444,0.059481043,0.09939012,0.103460824,0.111505775,0.17975857
G25,0.0,0.205483031,0.197481771,0.132049289,0.260163994,0.126125297,0.011159286,0.086974927,0.187044383,0.092682001,0.147890982,0.10665964,0.121150071,0.094812728,0.016679858,0.016679858,0.06893795,0.110439096,0.141715285,0.090599284,0.073042457,0.033752026,0.159077211,0.200895697,0.265776887,0.0,0.056621437,0.086249237,0.135997377,0.202130006,0.013098656,0.102173679,0.008274145,0.039737581,0.039572275,0.120114075,0.108541488,0.173257083,0.091205987,0.117996115,0.103487592,0.051939654,0.091947111,0.088846259,0.144842173,0.053223256,0.09002556,0.217984367,0.206721231,0.162524905,0.128834827,0.078460048,0.089569809,0.084627623,0.112509735,0.124033728,0.145056266,0.195053295,0.115021913,0.185769052,0.246557009,0.216914722,0.17126728,0.101922803,0.11829212,0.075370006,0.155316542,0.205065813,0.225259447,0.186831976,0.122214597,0.191496714,0.129985779,0.154988087,0.17054577,0.221432932,0.164378872,0.154081204,0.099567435,0.080683039,0.047209034,0.135685854,0.073639096,0.153682268,0.152325558,0.164428419,0.160425369,0.128197034,0.196530176,0.161945032,0.079117599,0.069487335,0.065976331,0.091870623,0.10433235,0.178573371,0.084763244,0.137132557,0.09781995,0.087677058,0.073969541,0.059420501
G26,0.0,0.105625406,0.073781467,0.072590702,0.099718973,0.048922509,0.025938716,0.069464557,0.091225672,0.007422778,0.034054565,0.11190637,0.116920383,0.036871003,0.037855619,0.018126552,0.04166069,0.068610319,0.022080393,0.037818999,0.026689664,0.011550969,0.080949502,0.050594221,0.109294178,0.056621437,0.0,0.056808694,0.075359572,0.065204711,0.073867311,0.064736568,0.061001534,0.115123509,0.083603987,0.119424272,0.055447781,0.037844928,0.000863497,0.021057998,0.062947973,0.046216235,0.043159755,0.072079496,0.100401012,0.007888228,0.019857492,0.056445005,0.048440945,0.060597968,0.092677088,0.040178319,0.01508766,0.066852431,0.091526216,0.031862451,0.066684566,0.093142287,0.05091869,0.08282555,0.048207432,0.085214244,0.061021405,0.07130775,0.107898397,0.038194237,0.04670318,0.049447016,0.06974227,0.018946065,0.012011233,0.075805538,0.037999032,0.059868314,0.059163508,0.071215003,0.094092551,0.019136089,0.068172181,0.039153646,0.033273992,0.068026369,0.038714049,0.07988277,0.047837914,0.014118519,0.115515574,0.0565145,0.110628058,0.029915299,0.034336404,0.022349756,0.005233412,0.034319487,0.063803655,0.053930753,0.03723555,0.049785552,0.102050334,0.072898407,0.005793663,0.060891407
G27,0.0,0.10319048,0.048711298,0.134795501,0.099687725,0.068505935,-0.001527776,0.039082066,0.031901621,0.035101259,0.04510718,0.058537394,0.093624495,0.031142599,0.015330804,0.015330804,0.066067227,0.085209885,0.042294869,0.024933065,0.037601666,0.018784495,0.076878838,0.112051926,0.069291628,0.086249237,0.056808694,0.0,0.098396596,0.106128736,0.10297842,0.197315852,0.042138591,0.08910414,0.076932836,0.069281876,0.038658365,0.007452969,0.028919828,0.110820424,0.099531853,0.035033186,0.053236954,0.077614199,0.133560834,0.043793756,0.067035457,0.012782848,0.055722385,0.10204873,0.151897438,0.04398013,0.013467878,0.041173702,0.087360116,0.038127627,0.075592277,0.116452424,0.057083236,0.075065878,0.064192054,0.068554657,0.107408462,0.050019844,0.088946376,0.070180423,0.07514676,0.086730773,0.076442858,0.056113411,0.024453617,0.100309371,0.016817082,0.032625831,0.062567414,0.089829116,0.012188848,0.040912507,0.062236722,0.053048419,0.046542093,0.064096023,0.050425613,0.090931528,0.051148955,0.064838719,0.101978941,0.053755799,0.065529083,0.067795581,0.067815425,0.054850019,0.03911962,0.042490532,0.173017092,0.096695843,0.050511706,0.116811444,0.065106908,0.052357572,0.038425043,0.115807033
G28,0.0,0.142969041,0.111529844,0.109455061,0.155041251,0.0610495,0.045235416,0.095656245,0.137178217,0.056915638,0.089403493,0.054276078,0.065801774,0.03871733,0.021974967,0.021974967,0.06038725,0.082944308,0.131637591,0.077869907,0.065763737,0.048746602,0.085163518,0.105218945,0.202439529,0.135997377,0.075359572,0.098396596,0.0,0.057418379,0.098707857,0.193399412,0.010886451,0.063395421,0.034358323,0.076280577,0.14147239,0.128180538,0.102303301,0.008052537,0.096557001,0.035762792,0.112518906,0.115378782,0.127135827,0.109987993,0.087352497,0.096054187,0.172451619,0.087109811,0.15820554,0.134157714,0.088278456,0.072756535,0.117437533,0.144634882,0.170595166,0.11076104,0.036537712,0.180901868,0.142703072,0.203752851,0.151419804,0.150699035,0.217655852,0.076825899,0.140250457,0.095901872,0.131456176,0.126291099,0.069122889,0.079722351,0.027394616,0.049804863,0.068752074,0.137811279,0.146805059,0.051490041,0.113617737,0.119968695,0.090045397,0.080948506,0.045481641,0.09355463,0.112483263,0.077129673,0.106108525,0.019428277,0.16969355,0.060318518,0.083766975,0.119545862,0.190815682,0.106684327,0.25636012,0.182980989,0.116322014,0.178148998,0.04921413,0.059205622,0.087689594,0.258195173
G29,0.0,0.190941724,0.160846914,0.083441018,0.197601607,0.047172894,0.01289154,0.06597834,0.180513549,0.083909488,0.134892661,0.060565823,0.040270787,0.032291864,0.016119761,0.016119761,0.082704516,0.048762345,0.113054298,0.046135323,0.015180543,0.014321598,0.098080553,0.20722404,0.230227573,0.202130006,0.065204711,0.106128736,0.057418379,0.0,0.09714166,0.112332813,0.042138591,0.095021314,0.061609426,0.078154929,0.079903678,0.195514782,0.04393271,0.002975239,0.025426679,0.016927907,0.019490297,0.067331322,0.115069732,0.033205821,0.084563235,0.167106663,0.180374602,0.103778749,0.120719203,0.075874674,0.078625852,0.084457627,0.130572903,0.083296789,0.096780399,0.073346399,0.099168627,0.167665053,0.206925322,0.175701998,0.207271862,0.088815591,0.09756456,0.047827591,0.167191174,0.196167876,0.205474376,0.244762742,0.169283326,0.191393142,0.18157461,0.206614703,0.229197464,0.226238621,0.16196572,0.205670035,0.074575537,0.032392827,0.02310278,0.126018895,0.099275097,0.023905054,0.048320046,0.10633762,0.116655872,0.039451568,0.05837359,0.214498512,0.053126314,0.047558944,0.083680505,0.067527557,0.068709283,0.095381568,0.079412773,0.032001468,0.065503533,0.044110894,0.047453237,0.142459867
G30,0.0,0.091661381,0.069533743,0.062498946,0.050459173,0.062666353,0.028971586,0.031202506,0.072992454,0.060663316,0.109102126,0.037189004,0.093328193,0.035407035,0.016219986,0.016219986,0.04291455,0.027684875,0.04815526,0.013183382,0.025721362,0.015441899,0.063729206,0.060060111,0.055226906,0.013098656,0.073867311,0.10297842,0.098707857,0.09714166,0.0,0.094221525,0.042138591,0.069065138,0.074229404,0.081045824,0.025262339,0.026147268,0.051174509,0.044161269,0.089810056,0.024278637,0.057752359,0.102685585,0.077317758,0.034946209,0.101255438,0.047753896,0.069164329,0.162610232,0.084956177,0.056195379,0.022958783,0.081593161,0.13428763,0.08807618,0.101222777,0.08675962,0.051685857,0.091169304,0.057101959,0.054260928,0.087682189,0.038739982,0.04219594,0.068625343,0.048362496,0.073113702,0.050265289,0.058639727,0.048161779,0.038237102,0.006433506,0.039974791,0.063463058,0.076970236,-0.02356596,0.030528931,0.038912335,0.03631912,0.030434393,0.078570349,0.003809638,0.063487209,0.048023759,0.046241087,0.100779096,0.000395419,0.018575674,0.05361185,0.096114544,0.02849329,0.038855722,0.081553803,0.118235676,0.081134621,0.099587593,0.099812371,0.08635456,0.0290597,0.077553292,0.16320841
G31,0.0,0.148650964,0.106003922,0.113093673,0.152895044,0.040337476,0.032153741,0.086718103,0.095536999,0.041516768,0.175674276,0.07247271,0.110914481,0.05940125,0.036463319,0.048849863,0.108318093,0.126148208,0.143452731,0.087989761,0.107331961,0.050310719,0.15389028,0.093900642,0.183040956,0.102173679,0.064736568,0.197315852,0.193399412,0.112332813,0.094221525,0.0,0.061001534,0.14938019,0.070664961,0.110722945,0.102199477,0.072329564,0.026484964,0.041012952,0.048322221,0.030796349,0.085197524,0.112803478,0.301125827,0.079241116,0.063271173,0.148626287,0.09131183,0.11855537,0.203284394,0.052342402,0.093426227,0.117473909,0.194104948,0.16951299,0.114010536,0.096252698,0.090828934,0.215217857,0.195352224,0.209433672,0.254348994,0.180015548,0.224797087,0.027166928,0.106368328,0.186070061,0.142996622,0.096882771,0.051092288,0.139846228,0.032907736,0.064084698,0.086190157,0.22094417,0.033919912,0.057003161,0.147084497,0.10514054,0.120879225,0.168813763,0.045656289,0.06025913,0.120103756,0.077470013,0.067140854,0.045226164,0.084561608,0.06909585,0.073010439,0.060304007,0.076997133,0.129418452,0.275262117,0.171969441,0.065632245,0.085533072,0.07450916,0.132599818,0.110140245,0.217992083
G32,0.0,0.012860225,0.015798277,0.024606646,0.017380886,0.012860225,0.001516428,0.011189528,0.006204863,0.001753128,0.010028725,0.018594869,0.008744842,0.000410318,0.000203054,0.000203054,0.015798277,0.036906109,0.012503007,0.004029609,0.000515583,0.0010592,0.010306538,0.005311389,0.012158111,0.008274145,0.061001534,0.042138591,0.010886451,0.042138591,0.042138591,0.061001534,0.0,0.061001534,0.061001534,0.042138591,0.027293392,0.008988769,0.00224403,0.005141889,0.008988769,0.001516428,0.007607204,0.042138591,0.061001534,0.009495233,0.008274145,0.009238795,0.009238795,0.014867204,0.010592291,0.009758421,0.008506724,0.016825045,0.010306538,0.012860225,0.008274145,0.008506724,0.009238795,0.005659259,0.008274145,0.002370616,0.012503007,0.023493237,0.023493237,0.007824612,0.006781964,0.012158111,0.007394422,0.016825045,0.000515583,0.003733286,0.000410318,0.001285201,0.01323068,0.010592291,0.010028725,0.000410318,0.001285201,0.003304641,0.000306149,0.009238795,0.011824715,0.014432285,0.028967862,0.009758421,0.012158111,0.005311389,0.015798277,0.000515583,0.012860225,0.008506724,0.007824612,0.007824612,0.025859921,0.025859921,0.021581216,0.007824612,0.007824612,0.010886451,0.008744842,0.023493237
G33,0.0,0.093150505,0.121155112,0.14098758,0.133741373,0.055763673,0.04715672,0.036568727,0.055531941,0.026503586,0.062504945,0.044693414,0.084270246,0.030475658,0.015330804,0.015330804,0.075385353,0.077759679,0.020389974,0.044992608,0.013794528,0.0241244,0.071846715,0.060516278,0.10480059,0.039737581,0.115123509,0.08910414,0.063395421,0.095021314,0.069065138,0.14938019,0.061001534,0.0,0.065653712,0.100241008,0.070913907,0.031055394,0.012554212,0.010546057,0.031681628,0.015030157,0.037328753,0.098279395,0.13900058,0.04251686,0.049150473,0.037904431,0.065245537,0.155221119,0.095318847,0.093428135,0.08284404,0.052036339,0.072269036,0.035087031,0.053467233,0.039956106,0.058739117,0.056821661,0.095456618,0.032772642,0.040127614,0.029911381,0.086706362,0.087913047,0.065624572,0.097806201,0.099185119,0.124702112,-0.005068416,0.036674533,0.006380233,0.014316136,0.057889703,0.061579775,0.046664343,0.030475658,0.02350347,0.025611818,0.022734954,0.064153946,0.023998481,0.054766584,0.066127551,0.030127572,0.094095769,0.035525881,0.071302736,0.037889953,0.04261237,0.089503605,0.100442926,0.057571073,0.119985062,0.054599436,0.094103432,0.104079382,0.03788525,0.066831628,0.038279674,0.080052233
G34,0.0,0.045905119,0.018079968,0.075269553,0.070878971,0.006705078,0.028327295,0.008863099,0.043473782,0.023751721,0.03870769,0.033695519,0.024857808,0.034345853,0.003768168,0.003768168,0.021473803,0.049682573,0.027156754,0.072461117,0.036179565,0.01973917,0.023194455,0.023687987,0.035093586,0.039572275,0.083603987,0.076932836,0.034358323,0.061609426,0.074229404,0.070664961,0.061001534,0.065653712,0.0,0.087564998,0.057338998,0.028501702,0.042266135,0.029411184,0.03115435,0.008581341,0.045713393,0.106524803,0.086366815,0.043119418,0.003204884,0.023337854,0.018952284,0.126301779,0.09411881,0.019229454,0.016470931,0.074304328,0.068953304,0.059380812,0.04567702,0.078960601,0.077970943,0.04734546,0.09473267,0.031694199,0.04150494,0.023630426,0.051106582,0.034531741,0.055577032,0.027267272,0.031157791,0.025890613,0.017316622,0.031125254,0.010250428,0.023453127,0.078256637,0.0303576,0.004549943,0.034345853,0.023978797,0.008675711,0.00568414,0.065159683,0.028721268,0.033742741,0.047673152,0.044804748,0.079370615,0.034857994,0.026137852,0.036179565,0.02798988,0.073587284,0.032998715,0.031895041,0.045603665,0.019083127,0.103280078,0.024321947,0.007859517,0.035365778,0.030026899,0.124856556
G35,0.0,0.073611867,0.11461628,0.102921158,0.115556187,0.050166329,0.021499939,0.05948082,0.086042055,0.040701509,0.10456144,0.084216751,0.094480659,0.038588044,0.019225679,0.015770453,0.023716271,0.06157735,0.010952757,0.013031863,0.017710922,0.051378018,0.069247612,0.073813691,0.11587915,0.120114075,0.119424272,0.069281876,0.076280577,0.078154929,0.081045824,0.110722945,0.042138591,0.100241008,0.087564998,0.0,0.064716433,0.030716375,0.049803418,0.011560906,0.046895887,0.036536654,0.040545279,0.05397199,0.089047371,0.043112309,0.030762326,0.064634554,0.173584207,0.101657796,0.072457554,0.034035636,0.120417899,0.057945776,0.123142482,0.121021626,0.084391879,0.091305062,0.013774015,0.152500921,0.110072978,0.07908857,0.060411962,0.062852837,0.102849889,0.071131652,0.120621085,0.067190341,0.138587639,0.044681093,0.021822179,0.039941927,0.02893733,0.068895964,0.123739331,0.056133394,0.010395468,0.034169811,0.06444115,0.033794303,0.045514292,0.107227639,0.001012638,0.044754332,0.050600218,0.063016745,0.019589331,0.037033348,0.072333299,0.045917604,0.072273345,0.073451632,0.052304478,0.019216766,0.135269679,0.079682855,0.098806952,0.049229503,0.116937806,0.111663198,0.074380372,0.103272539
G36,0.0,0.082727867,0.103847619,0.052770718,0.161885967,0.05248001,0.011098821,0.084640726,0.126100405,0.040206997,0.039943933,0.05555967,0.085167579,0.030262876,0.021308908,0.024118455,0.038288909,0.054568475,0.017142733,0.029805298,0.019772631,0.006517168,0.031723771,0.120326448,0.118672254,0.108541488,0.055447781,0.038658365,0.14147239,0.079903678,0.025262339,0.102199477,0.027293392,0.070913907,0.057338998,0.064716433,0.0,0.05224382,0.032316156,0.012632997,0.036046817,0.021400569,0.049981934,0.056052798,0.095603056,0.039576407,0.034581896,0.041288121,0.080984748,0.033722399,0.068231265,0.03415629,0.043976209,0.074472015,0.0929258,0.078412825,0.073090051,0.118531054,0.06050564,0.085761926,0.093487394,0.085528274,0.145858501,0.062110473,0.112307541,0.077166372,0.081335914,0.047404024,0.090205514,0.077506043,0.050826938,0.092223869,0.072138098,0.100282852,0.092002586,0.06747616,0.018656532,0.07737058,0.051492818,0.099650402,0.028713057,0.076249474,0.001886781,0.049653693,0.074775971,0.04199424,0.032215013,0.034306895,0.054916437,0.084567466,0.058669639,0.04929896,0.020826534,0.02891927,0.056324372,0.050711171,0.038523799,0.082835006,0.05678211,0.042707893,0.031647417,0.083391449
G37,0.0,0.257191665,0.130086894,0.087287727,0.219210145,0.043351256,0.004074607,0.051702377,0.138838246,0.035547958,0.121047302,0.035798038,0.137144275,0.042894876,0.020077285,0.020077285,0.022283185,0.045180676,0.123118269,0.016132337,0.027627928,0.027105236,0.125301081,0.184815949,0.233559612,0.173257083,0.037844928,0.007452969,0.128180538,0.195514782,0.026147268,0.072329564,0.008988769,0.031055394,0.028501702,0.030716375,0.05224382,0.0,0.01598898,0.029109383,0.032710421,0.019174186,-0.002287196,0.043499753,0.055990873,0.017695422,0.078150788,0.158251854,0.164829856,0.04833644,0.050132802,0.049663765,0.045513447,0.046173811,0.150089193,0.093725505,0.11375984,0.080286773,0.061930244,0.160528953,0.197509579,0.153351867,0.224555946,0.012519045,0.039701512,0.035741066,0.176990456,0.09213792,0.232783072,0.189815981,0.164860415,0.203360883,0.172944148,0.186473957,0.170151193,0.162164573,0.13225165,0.172944148,0.07103708,0.032816478,0.029113025,0.098267727,0.091310317,0.038170438,0.028416129,0.038263961,0.077107678,0.02844225,0.015831908,0.194115047,0.070151347,0.062031913,0.037889196,0.059970128,0.059044013,0.062889626,0.009855372,0.063229844,0.056726679,0.008265654,0.03305779,0.064407997
G38,0.0,0.045625834,0.041898752,0.03829232,0.07846084,0.018034514,-0.00367333,0.037274411,0.054306491,0.112664595,0.028302482,0.108485844,0.113259572,0.126007499,0.022889934,0.022889934,0.06679228,0.112430373,0.05779492,0.103379464,0.06972317,0.004573381,0.066939977,0.053466633,0.029319256,0.091205987,0.000863497,0.028919828,0.102303301,0.04393271,0.051174509,0.026484964,0.00224403,0.012554212,0.042266135,0.049803418,0.032316156,0.01598898,0.0,0.097491211,0.026965227,-0.00367333,0.043974264,0.059646013,0.038670054,0.046716302,0.098369017,0.082821117,0.030322448,0.133233773,0.062929577,0.030316636,0.075352642,0.075197382,0.072381253,0.073182814,0.127348773,0.095803603,0.106610678,0.045458278,0.117722494,0.067552308,0.038379878,0.033581935,0.066121325,0.125205357,0.033550727,0.092684405,0.054240733,0.056079202,0.014862898,0.054264131,0.013389243,0.061870699,0.017870509,0.056323793,0.036267909,0.018621724,0.012063209,0.044352661,0.006809404,0.124889865,0.041058521,0.06873736,0.083977315,0.167292421,0.105995916,0.113768428,0.113061649,0.020840105,0.072116201,0.009413557,0.051012164,0.054983013,0.039802791,0.083647831,0.065892283,0.040632756,0.018786165,0.019252306,0.042759527,0.117229462
G39,0.0,0.047668153,0.059885886,0.04058553,0.064221054,0.031174715,0.020082555,0.03378612,0.044046957,0.103142991,0.064582948,0.131272282,0.1251434,0.124008652,0.015633168,0.021377731,0.045983502,0.114438301,0.035413359,0.079749572,0.048954653,0.005366852,0.038836138,0.03700563,0.082717566,0.117996115,0.021057998,0.110820424,0.008052537,0.002975239,0.044161269,0.041012952,0.005141889,0.010546057,0.029411184,0.011560906,0.012632997,0.029109383,0.097491211,0.0,0.065824677,0.016000792,0.043439891,0.005522732,0.059259468,0.037039836,0.066608671,0.032007708,0.050972589,0.097539198,0.101058334,0.048220873,0.04577971,0.078615613,0.069204307,0.047116667,0.066308027,0.063585547,0.108215993,0.048842725,0.063670808,0.054581581,0.076940174,0.009504405,0.055057579,0.058571608,0.0182089,0.067519226,0.045277406,0.063649182,0.026413654,0.034643028,0.020986132,0.034487085,0.047040649,0.049614543,0.026781742,0.020986132,0.038376559,0.052545151,0.020741502,0.058876953,0.026348991,0.068995903,0.058881611,0.165275736,0.07302465,0.128617456,0.119506041,0.026413654,0.074014416,0.02796026,0.029814823,0.022898353,0.037752718,0.032418828,0.031425166,0.045360965,0.040711353,0.028137733,0.010484163,0.051074386
G40,0.0,0.066615181,0.064947036,0.043189085,0.075926678,0.069033262,0.008612543,0.053748793,0.110399216,0.054825513,0.059389782,0.044444393,0.091296236,0.049123357,0.032380994,0.042395885,0.028295862,0.022328366,0.072386589,0.05931019,0.01935194,0.006609291,0.044696458,0.081495772,0.0621819,0.103487592,0.062947973,0.099531853,0.096557001,0.025426679,0.089810056,0.048322221,0.008988769,0.031681628,0.03115435,0.046895887,0.036046817,0.032710421,0.026965227,0.065824677,0.0,0.070057665,0.034555688,0.086553407,0.061729478,0.061193198,0.043568722,0.031465639,0.094191975,0.100293731,0.16529669,0.052714418,0.075335778,0.057058307,0.053456689,0.043363235,0.050113554,0.111651433,0.081415678,0.05098025,0.062596145,0.042693794,0.056605845,0.032262352,0.074621011,0.087872838,0.095971063,0.073664955,0.061483674,0.081270897,0.014993465,0.036790683,0.025521884,0.026871441,0.071576698,0.045608089,0.01833579,0.030754366,0.021039883,0.020352579,0.025936269,0.040043569,0.011751386,0.079605207,0.145029813,0.063866419,0.074133908,0.076210848,0.016435521,0.039839281,0.020442031,0.028013951,0.040132517,0.064348992,0.157068469,0.070537691,0.062847344,0.062386712,0.08868054,0.087367209,0.030651248,0.076964092
G41,0.0,0.043133448,0.08892696,0.08755449,0.043992976,0.038004078,0.017812022,0.016631459,0.059038484,0.002768885,0.020518709,0.049537563,0.031590443,0.025040333,0.04222712,0.022162332,0.021442345,0.020715372,0.017662876,0.033796175,0.002408203,-0.002316524,0.01439067,0.019611547,0.031908429,0.051939654,0.046216235,0.035033186,0.035762792,0.016927907,0.024278637,0.030796349,0.001516428,0.015030157,0.008581341,0.036536654,0.021400569,0.019174186,-0.00367333,0.016000792,0.070057665,0.0,0.020140329,0.04174581,0.011786441,0.010045436,-0.005010574,0.014973734,0.009894722,0.029411947,0.049027666,0.027307752,0.052192916,0.022314333,0.049463895,0.003906865,0.051259346,0.021091721,0.024010266,0.014555031,0.031089693,0.010745715,0.021856467,0.026610098,0.067684479,0.052522821,0.025211341,0.040981706,0.031502353,0.0165038,0.007752279,0.011919421,0.00616703,0.002094968,0.009450552,0.027536268,0.026576159,0.00616703,0.003528439,0.025008382,0.004599567,0.008751812,0.011077793,0.017265286,0.037548386,0.003522901,0.049530106,0.054694872,0.014944175,0.007752279,0.023839985,0.071646435,0.009767488,0.037550147,0.036021499,0.06100545,0.001808871,0.03101463,0.043330469,0.076707693,-0.000539304,0.033352859
G42,0.0,0.070343403,0.087895693,0.112803504,0.083459343,0.046750381,0.040245466,0.06409191,0.052841318,0.058092074,0.092856172,0.064151386,0.127028,0.080956793,0.019008271,0.015330804,0.094145758,0.12481698,0.0902849,0.037185131,0.046462594,0.009347818,0.098047003,0.029614667,0.099803931,0.091947111,0.043159755,0.053236954,0.112518906,0.019490297,0.057752359,0.085197524,0.007607204,0.037328753,0.045713393,0.040545279,0.049981934,-0.002287196,0.043974264,0.043439891,0.034555688,0.020140329,0.0,0.025622072,0.087466022,0.025712591,0.05180535,0.069777658,0.075764228,0.095054425,0.158043919,0.018320393,0.156219041,0.017163271,0.100497556,0.052886585,0.115467927,0.070462113,0.105161401,0.057047424,0.14282493,0.069076626,0.040088503,0.025360261,0.076958464,0.087333814,0.028914996,0.029421933,0.103566153,0.031564872,0.022073101,0.06607768,0.01405297,0.033789886,0.043920787,0.117123104,0.032902272,0.019285452,0.030779913,0.087067525,0.038620987,0.085781604,0.038313827,0.120212706,0.130979825,0.049547598,0.097455956,0.07024058,0.051724501,0.026921987,0.094176831,0.044103331,0.019460643,0.086685397,0.059056338,0.040597071,0.044389546,0.114979724,0.098090691,0.069633722,0.064473108,0.108143052
G43,0.0,0.099834933,0.116660937,0.071568298,0.116765998,0.041881049,0.012565418,0.076476109,0.126240946,0.028627388,0.08225524,0.034458316,0.057296418,0.040184833,0.02526222,0.02526222,0.044013631,0.04287247,0.081935433,0.072092095,0.076680625,0.024277698,0.050897507,0.072384056,0.112111658,0.088846259,0.072079496,0.077614199,0.115378782,0.067331322,0.102685585,0.112803478,0.042138591,0.098279395,0.106524803,0.05397199,0.056052798,0.043499753,0.059646013,0.005522732,0.086553407,0.04174581,0.025622072,0.0,0.107760292,0.055314045,0.023651304,0.057695327,0.065572211,0.090909641,0.184832889,0.059865115,0.054995319,0.065601639,0.081232152,0.030848097,0.074059502,0.151328994,0.050990418,0.121161213,0.082478005,0.120896722,0.129765255,0.092118823,0.138077442,0.126450835,0.040918318,0.067395594,0.130095465,0.030291178,0.046891645,0.006358442,0.005947455,0.018469547,0.085042451,0.052853366,0.034248448,0.048905824,0.082407441,0.065423116,0.080807679,0.049489877,0.050531756,0.082308899,0.049034616,0.089594069,0.11456559,0.034913054,0.044632569,0.056542359,0.024440918,0.038167574,0.020929789,0.052130286,0.122706601,0.080316915,0.079543043,0.118504993,0.035651831,0.010816266,0.037161661,0.101375011
