source,target,weight
G563,G1321,0.713
G563,G1352,0.724
G563,G1371,0.77
G563,G1395,0.718
G563,G1502,0.716
G563,G1540,0.748
G563,G1623,0.685
G563,G1813,0.745
G563,G1821,0.796
G563,G1838,0.678
G563,G1868,0.68
G563,G1987,0.696
G563,G1988,0.713
G563,G2005,0.7
G563,G2049,0.728
G563,G2132,0.686
G563,G2153,0.706
G563,G2186,0.692
G563,G2192,0.679
G563,G2230,0.711
G563,G2251,0.782
G563,G2389,0.821
G563,G2405,0.712
G563,G2415,0.677
G563,G2419,0.815
G563,G2428,0.673
G563,G2593,0.741
G563,G2742,0.815
G563,G2815,0.704
G563,G2827,0.752
G563,G2888,0.715
G563,G2940,0.686
G563,G2998,0.708
G563,G3067,0.754
G563,G3100,0.667
G563,G3107,0.676
G563,G3211,0.695
G563,G3388,0.743
G563,G3389,0.77
G563,G3465,0.723
G563,G3500,0.744
G563,G3544,0.745
G563,G3545,0.792
G563,G3669,0.74
G563,G3722,0.822
G563,G3763,0.667
G563,G3782,0.773
G563,G3855,0.668
G563,G3907,0.722
G563,G3934,0.694
G563,G3969,0.701
G563,G3989,0.671
G563,G4023,0.776
G563,G4031,0.731
G563,G4108,0.679
G563,G4137,0.686
G563,G4179,0.709
G563,G4319,0.692
G564,G2619,0.682
G564,G3686,0.674
G566,G2463,0.759
G566,G2538,0.702
G567,G739,0.683
G567,G758,0.709
G567,G772,0.719
G567,G983,0.693
G567,G1281,0.683
G567,G1321,0.671
G567,G1352,0.728
G567,G1395,0.748
G567,G1540,0.669
G567,G1838,0.701
G567,G2005,0.684
G567,G2049,0.769
G567,G2186,0.701
G567,G2405,0.738
G567,G2425,0.675
G567,G2428,0.71
G567,G2593,0.668
G567,G2827,0.686
G567,G2925,0.733
G567,G2998,0.681
G567,G3100,0.748
G567,G3103,0.687
G567,G3301,0.692
G567,G3669,0.68
G567,G4031,0.755
G567,G4038,0.673
G567,G4108,0.675
G567,G4129,0.675
G567,G4359,0.68
G567,G4418,0.715
G568,G891,0.704
G568,G1234,0.681
G568,G1657,0.668
G568,G1707,0.673
G568,G1976,0.712
G568,G2210,0.712
G568,G2213,0.726
G568,G2280,0.673
G568,G2364,0.698
G568,G2472,0.679
G568,G2844,0.668
G568,G2979,0.705
G568,G3023,0.76
G568,G3734,0.74
G568,G3837,0.729
G568,G4033,0.704
G570,G1179,0.824
G570,G1604,0.718
G570,G2030,0.952
G570,G4014,0.754
G571,G4445,0.686
G572,G1306,0.683
G572,G1537,0.81
G572,G1813,0.678
G572,G1997,0.816
G572,G2405,0.674
G572,G2428,0.667
G572,G2932,0.695
G572,G3107,0.702
G572,G3473,0.685
G572,G4319,0.707
G572,G4435,0.776
G575,G675,0.675
G575,G804,0.682
G575,G882,0.703
G575,G900,0.697
G575,G943,0.696
G575,G979,0.749
G575,G1004,0.694
G575,G1138,0.702
G575,G1184,0.696
G575,G1263,0.69
G575,G1354,0.734
G575,G1541,0.682
G575,G1692,0.725
G575,G1745,0.679
G575,G1770,0.675
G575,G1780,0.67
G575,G1784,0.669
G575,G1822,0.75
G575,G1934,0.687
G575,G2077,0.724
G575,G2086,0.684
G575,G2138,0.709
G575,G2208,0.688
G575,G2256,0.731
G575,G2259,0.706
G575,G2329,0.735
G575,G2390,0.727
G575,G2416,0.745
G575,G2452,0.696
G575,G2476,0.696
G575,G2509,0.679
G575,G2579,0.704
G575,G2591,0.684
G575,G2653,0.699
G575,G2853,0.675
G575,G2975,0.706
G575,G3193,0.731
G575,G3247,0.757
G575,G3300,0.668
G575,G3420,0.711
G575,G3456,0.684
G575,G3664,0.734
G575,G3670,0.729
G575,G3715,0.703
G575,G3718,0.686
G575,G3720,0.673
G575,G3802,0.732
G575,G3826,0.758
G575,G3945,0.678
G575,G4011,0.674
G575,G4160,0.676
G575,G4254,0.7
G575,G4295,0.732
G575,G4406,0.667
G575,G4421,0.696
G575,G4473,0.68
G575,G4475,0.668
G578,G639,0.796
G578,G776,0.822
G578,G835,0.776
G578,G840,0.786
G578,G884,0.799
G578,G1339,0.809
G578,G1643,0.669
G578,G1815,0.768
G578,G2150,0.794
G578,G2174,0.887
G578,G2327,0.782
G578,G2677,0.746
G578,G2723,0.668
G578,G2730,0.671
G578,G2744,0.786
G578,G2760,0.791
G578,G2871,0.806
G578,G3022,0.674
G578,G3057,0.766
G578,G3201,0.816
G578,G3385,0.791
G578,G3403,0.811
G578,G3468,0.815
G578,G3630,0.865
G578,G3647,0.765
G578,G3891,0.749
G578,G3957,0.74
G578,G4175,0.804
G578,G4194,0.848
G578,G4306,0.776
G578,G4429,0.79
G579,G622,0.7
G579,G768,0.71
G579,G772,0.751
G579,G825,0.689
G579,G833,0.737
G579,G863,0.669
G579,G1273,0.682
G579,G1281,0.705
G579,G1313,0.669
G579,G1321,0.694
G579,G1371,0.799
G579,G1441,0.683
G579,G1537,0.69
G579,G1540,0.696
G579,G1727,0.698
G579,G1813,0.779
G579,G1838,0.679
G579,G1902,0.758
G579,G2162,0.755
G579,G2186,0.685
G579,G2192,0.707
G579,G2198,0.667
G579,G2251,0.724
G579,G2294,0.748
G579,G2389,0.725
G579,G2405,0.692
G579,G2593,0.668
G579,G2635,0.707
G579,G2827,0.73
G579,G2925,0.669
G579,G2932,0.761
G579,G3016,0.736
G579,G3100,0.683
G579,G3107,0.762
G579,G3190,0.701
G579,G3473,0.753
G579,G3500,0.795
G579,G3501,0.671
G579,G3544,0.784
G579,G3545,0.764
G579,G3669,0.727
G579,G3784,0.67
G579,G3907,0.692
G579,G3934,0.686
G579,G4001,0.679
G579,G4031,0.697
G579,G4319,0.741
G579,G4321,0.678
G579,G4330,0.692
G579,G4370,0.689
G579,G4399,0.676
G579,G4412,0.748
G579,G4482,0.7
G580,G740,0.821
G580,G1145,0.687
G580,G1573,0.813
G580,G2610,0.667
G580,G3263,0.721
G580,G3341,0.676
G580,G3597,0.671
G580,G3605,0.719
G580,G4380,0.704
G581,G677,0.674
G581,G927,0.855
G581,G1070,0.828
G581,G1175,0.822
G581,G1599,0.933
G581,G2211,0.698
G581,G2255,0.734
G581,G2484,0.904
G581,G2601,0.919
G581,G2664,0.737
G581,G3090,0.868
G581,G3157,0.854
G581,G4230,0.785
G581,G4274,0.802
G582,G906,0.688
G582,G1442,0.731
G582,G1920,0.675
G582,G1987,0.684
G582,G2892,0.729
G582,G3211,0.688
G582,G3410,0.7
G582,G4038,0.685
G583,G851,0.692
G583,G3279,0.743
G584,G712,0.704
G584,G1202,0.697
G584,G1475,0.689
G584,G1636,0.683
G584,G1930,0.713
G584,G1957,0.729
G584,G2687,0.682
G584,G2788,0.687
G584,G2883,0.671
G584,G4424,0.706
G585,G1154,0.679
G585,G1184,0.671
G585,G1234,0.704
G585,G1460,0.685
G585,G1487,0.692
G585,G1544,0.672
G585,G1546,0.694
G585,G1651,0.722
G585,G1809,0.672
G585,G2256,0.681
G585,G2259,0.689
G585,G2364,0.722
G585,G2436,0.671
G585,G2452,0.68
G585,G2509,0.713
G585,G2648,0.691
G585,G2683,0.678
G585,G3219,0.681
G585,G4183,0.703
G585,G4223,0.678
G585,G4406,0.718
G585,G4485,0.762
G585,G4486,0.696
G586,G610,0.704
G586,G620,0.685
G586,G627,0.693
G586,G739,0.686
G586,G747,0.677
G586,G751,0.748
G586,G758,0.837
G586,G772,0.698
G586,G794,0.726
G586,G885,0.695
G586,G906,0.667
G586,G909,0.678
G586,G921,0.741
G586,G928,0.718
G586,G983,0.744
G586,G993,0.697
G586,G1002,0.702
G586,G1013,0.691
G586,G1022,0.764
G586,G1071,0.668
G586,G1073,0.691
G586,G1131,0.738
G586,G1163,0.807
G586,G1221,0.745
G586,G1281,0.681
G586,G1311,0.752
G586,G1317,0.817
G586,G1321,0.771
G586,G1340,0.688
G586,G1352,0.69
G586,G1355,0.786
G586,G1363,0.718
G586,G1379,0.825
G586,G1395,0.764
G586,G1397,0.668
G586,G1417,0.707
G586,G1453,0.677
G586,G1496,0.683
G586,G1540,0.741
G586,G1574,0.677
G586,G1581,0.673
G586,G1582,0.711
G586,G1623,0.78
G586,G1624,0.862
G586,G1676,0.789
G586,G1712,0.8
G586,G1775,0.713
G586,G1811,0.714
G586,G1813,0.693
G586,G1817,0.728
G586,G1820,0.795
G586,G1821,0.773
G586,G1838,0.733
G586,G1845,0.674
G586,G1853,0.73
G586,G1864,0.711
G586,G1868,0.689
G586,G1888,0.669
G586,G1920,0.871
G586,G1935,0.734
G586,G1945,0.732
G586,G1958,0.723
G586,G1987,0.767
G586,G1988,0.688
G586,G1996,0.736
G586,G2003,0.671
G586,G2005,0.743
G586,G2040,0.684
G586,G2049,0.791
G586,G2124,0.707
G586,G2131,0.716
G586,G2151,0.696
G586,G2186,0.784
G586,G2230,0.79
G586,G2295,0.74
G586,G2320,0.698
G586,G2389,0.692
G586,G2405,0.751
G586,G2415,0.865
G586,G2419,0.74
G586,G2425,0.82
G586,G2454,0.704
G586,G2574,0.696
G586,G2593,0.764
G586,G2600,0.696
G586,G2640,0.721
G586,G2702,0.704
G586,G2742,0.676
G586,G2762,0.712
G586,G2815,0.728
G586,G2816,0.7
G586,G2827,0.752
G586,G2867,0.717
G586,G2888,0.725
G586,G2892,0.689
G586,G2954,0.737
G586,G2963,0.673
G586,G2995,0.785
G586,G3004,0.71
G586,G3041,0.728
G586,G3049,0.698
G586,G3067,0.693
G586,G3068,0.738
G586,G3103,0.8
G586,G3107,0.67
G586,G3127,0.702
G586,G3182,0.693
G586,G3190,0.715
G586,G3211,0.741
G586,G3231,0.679
G586,G3264,0.738
G586,G3388,0.819
G586,G3389,0.679
G586,G3391,0.667
G586,G3395,0.764
G586,G3405,0.775
G586,G3410,0.718
G586,G3465,0.754
G586,G3536,0.814
G586,G3537,0.678
G586,G3545,0.697
G586,G3576,0.699
G586,G3580,0.702
G586,G3609,0.745
G586,G3666,0.824
G586,G3669,0.759
G586,G3706,0.793
G586,G3722,0.683
G586,G3763,0.774
G586,G3782,0.687
G586,G3784,0.727
G586,G3855,0.812
G586,G3865,0.719
G586,G3883,0.679
G586,G3897,0.708
G586,G3923,0.802
G586,G3924,0.673
G586,G3946,0.852
G586,G3969,0.868
G586,G3970,0.753
G586,G3989,0.783
G586,G4004,0.821
G586,G4031,0.765
G586,G4037,0.685
G586,G4038,0.772
G586,G4108,0.809
G586,G4126,0.735
G586,G4171,0.83
G586,G4179,0.746
G586,G4210,0.764
G586,G4264,0.683
G586,G4273,0.673
G586,G4294,0.716
G586,G4298,0.696
G586,G4319,0.732
G586,G4321,0.754
G586,G4333,0.741
G586,G4346,0.673
G586,G4359,0.7
G586,G4371,0.75
G586,G4392,0.67
G586,G4399,0.704
G586,G4418,0.802
G586,G4433,0.713
G586,G4468,0.79
G586,G4501,0.68
G588,G1486,0.726
G588,G3164,0.736
G588,G3426,0.804
G588,G3900,0.689
G590,G834,0.745
G590,G906,0.815
G590,G917,0.667
G590,G924,0.759
G590,G1048,0.721
G590,G1071,0.735
G590,G1131,0.69
G590,G1178,0.693
G590,G1228,0.698
G590,G1281,0.706
G590,G1340,0.669
G590,G1352,0.708
G590,G1360,0.741
G590,G1417,0.684
G590,G1496,0.699
G590,G1623,0.72
G590,G1688,0.731
G590,G1734,0.785
G590,G1813,0.672
G590,G1877,0.69
G590,G1888,0.718
G590,G1920,0.748
G590,G1935,0.713
G590,G1944,0.754
G590,G1987,0.727
G590,G2003,0.803
G590,G2009,0.681
G590,G2023,0.673
G590,G2026,0.687
G590,G2102,0.752
G590,G2132,0.687
G590,G2428,0.668
G590,G2496,0.73
G590,G2593,0.687
G590,G2640,0.723
G590,G2815,0.755
G590,G2823,0.808
G590,G2892,0.684
G590,G2992,0.746
G590,G3016,0.681
G590,G3211,0.744
G590,G3410,0.753
G590,G3465,0.695
G590,G3642,0.714
G590,G3669,0.697
G590,G3722,0.697
G590,G3782,0.736
G590,G3934,0.672
G590,G4030,0.753
G590,G4038,0.694
G590,G4108,0.717
G590,G4321,0.677
G590,G4371,0.716
G590,G4469,0.713
G592,G857,0.864
G592,G2130,0.824
G592,G3798,0.782
G592,G4374,0.848
G595,G688,0.684
G595,G1631,0.721
G595,G2041,0.744
G595,G2052,0.699
G595,G2474,0.72
G595,G2651,0.739
G595,G2754,0.7
G595,G2965,0.788
G595,G3290,0.712
G595,G3321,0.674
G595,G3330,0.676
G595,G3369,0.667
G595,G3727,0.745
G595,G4251,0.683
G597,G2907,0.69
G598,G636,0.71
G598,G770,0.685
G598,G804,0.691
G598,G960,0.851
G598,G1310,0.676
G598,G1315,0.68
G598,G1487,0.695
G598,G1544,0.684
G598,G1546,0.675
G598,G1784,0.669
G598,G1809,0.797
G598,G1934,0.705
G598,G2077,0.67
G598,G2086,0.708
G598,G2256,0.691
G598,G2259,0.694
G598,G2390,0.754
G598,G2452,0.709
G598,G2579,0.679
G598,G2853,0.693
G598,G3594,0.718
G598,G3901,0.69
G598,G4160,0.681
G598,G4486,0.671
G599,G752,0.671
G599,G785,0.689
G599,G828,0.706
G599,G1065,0.688
G599,G1474,0.693
G599,G1560,0.678
G599,G2418,0.702
G599,G2544,0.671
G599,G2591,0.676
G599,G2771,0.744
G599,G2896,0.679
G599,G2902,0.705
G599,G3178,0.717
G599,G3420,0.695
G599,G3718,0.694
G599,G4461,0.686
G600,G1308,0.693
G600,G2893,0.715
G600,G4169,0.681
G601,G619,0.728
G601,G650,0.835
G601,G671,0.673
G601,G700,0.749
G601,G797,0.743
G601,G821,0.671
G601,G996,0.681
G601,G1027,0.766
G601,G1087,0.799
G601,G1182,0.73
G601,G1222,0.679
G601,G1256,0.74
G601,G1404,0.739
G601,G1406,0.69
G601,G1492,0.724
G601,G1616,0.853
G601,G1647,0.706
G601,G1672,0.786
G601,G1790,0.741
G601,G1842,0.823
G601,G1906,0.745
G601,G1940,0.698
G601,G1953,0.72
G601,G1959,0.796
G601,G1969,0.894
G601,G1990,0.764
G601,G2091,0.673
G601,G2199,0.761
G601,G2205,0.694
G601,G2225,0.746
G601,G2318,0.766
G601,G2468,0.706
G601,G2470,0.711
G601,G2513,0.671
G601,G2613,0.721
G601,G2678,0.742
G601,G2711,0.726
G601,G2845,0.947
G601,G2905,0.707
G601,G2957,0.712
G601,G3114,0.792
G601,G3144,0.815
G601,G3188,0.74
G601,G3294,0.823
G601,G3484,0.729
G601,G3534,0.692
G601,G3622,0.938
G601,G3806,0.95
G601,G3813,0.787
G601,G3962,0.681
G601,G4019,0.88
G601,G4086,0.876
G601,G4117,0.789
G601,G4246,0.721
G601,G4452,0.668
G601,G4455,0.719
G601,G4456,0.674
G601,G4476,0.69
G601,G4477,0.685
G601,G4488,0.682
G601,G4505,0.728
G602,G2312,0.686
G603,G1030,0.693
G603,G3340,0.757
G603,G3686,0.687
G604,G636,0.695
G604,G713,0.702
G604,G770,0.755
G604,G788,0.699
G604,G804,0.684
G604,G960,0.684
G604,G992,0.68
G604,G1003,0.715
G604,G1023,0.672
G604,G1045,0.711
G604,G1049,0.684
G604,G1127,0.682
G604,G1263,0.723
G604,G1315,0.758
G604,G1354,0.675
G604,G1373,0.692
G604,G1429,0.742
G604,G1445,0.683
G604,G1613,0.709
G604,G1654,0.676
G604,G1698,0.698
G604,G1749,0.732
G604,G1784,0.75
G604,G1914,0.711
G604,G1925,0.706
G604,G1934,0.713
G604,G1965,0.74
G604,G1975,0.699
G604,G2004,0.725
G604,G2156,0.764
G604,G2213,0.707
G604,G2416,0.684
G604,G2509,0.668
G604,G2573,0.731
G604,G2591,0.681
G604,G2643,0.676
G604,G2645,0.675
G604,G2844,0.733
G604,G2934,0.712
G604,G2977,0.699
G604,G2986,0.689
G604,G3079,0.671
G604,G3136,0.733
G604,G3283,0.704
G604,G3456,0.69
G604,G3517,0.703
G604,G3558,0.703
G604,G3571,0.775
G604,G3594,0.745
G604,G3684,0.685
G604,G3734,0.714
G604,G3791,0.682
G604,G3975,0.739
G604,G4142,0.689
G604,G4234,0.671
G604,G4254,0.674
G604,G4301,0.681
G604,G4365,0.734
G604,G4388,0.714
G604,G4406,0.673
G604,G4480,0.751
G604,G4486,0.689
G606,G625,0.716
G606,G652,0.674
G606,G672,0.671
G606,G739,0.677
G606,G751,0.806
G606,G909,0.691
G606,G964,0.683
G606,G974,0.686
G606,G1022,0.688
G606,G1084,0.679
G606,G1163,0.748
G606,G1561,0.75
G606,G1624,0.691
G606,G1679,0.81
G606,G1817,0.761
G606,G1820,0.789
G606,G1955,0.667
G606,G2186,0.678
G606,G2223,0.669
G606,G2230,0.673
G606,G2295,0.724
G606,G2415,0.705
G606,G2493,0.689
G606,G2686,0.683
G606,G2954,0.707
G606,G3068,0.672
G606,G3148,0.688
G606,G3501,0.758
G606,G3646,0.689
G606,G3666,0.708
G606,G3694,0.765
G606,G3758,0.738
G606,G3760,0.738
G606,G3809,0.772
G606,G3900,0.697
G606,G3923,0.78
G606,G3946,0.672
G606,G4004,0.668
G606,G4290,0.667
G606,G4333,0.732
G610,G921,0.672
G610,G1163,0.717
G610,G1624,0.691
G610,G1820,0.701
G610,G1869,0.695
G610,G2295,0.704
G610,G2415,0.713
G610,G2600,0.689
G610,G2762,0.7
G610,G2954,0.678
G610,G3103,0.697
G610,G3164,0.707
G610,G3388,0.684
G610,G3395,0.738
G610,G3580,0.764
G610,G3763,0.672
G610,G3923,0.737
G610,G3989,0.846
G610,G4418,0.693
G611,G657,0.683
G611,G695,0.747
G611,G724,0.69
G611,G804,0.716
G611,G810,0.679
G611,G943,0.668
G611,G979,0.745
G611,G1009,0.762
G611,G1124,0.72
G611,G1127,0.678
G611,G1135,0.667
G611,G1138,0.68
G611,G1154,0.681
G611,G1184,0.903
G611,G1234,0.701
G611,G1310,0.75
G611,G1460,0.728
G611,G1474,0.738
G611,G1481,0.734
G611,G1487,0.778
G611,G1546,0.778
G611,G1651,0.694
G611,G1654,0.869
G611,G1692,0.826
G611,G1729,0.669
G611,G1749,0.676
G611,G1770,0.933
G611,G2063,0.69
G611,G2077,0.69
G611,G2079,0.697
G611,G2086,0.773
G611,G2226,0.694
G611,G2256,0.736
G611,G2259,0.779
G611,G2285,0.696
G611,G2329,0.68
G611,G2344,0.709
G611,G2390,0.703
G611,G2401,0.761
G611,G2416,0.718
G611,G2452,0.801
G611,G2509,0.679
G611,G2591,0.699
G611,G2648,0.698
G611,G2653,0.735
G611,G2771,0.668
G611,G2902,0.721
G611,G3152,0.695
G611,G3219,0.694
G611,G3247,0.907
G611,G3289,0.674
G611,G3300,0.731
G611,G3424,0.67
G611,G3517,0.697
G611,G3535,0.723
G611,G3569,0.672
G611,G3663,0.667
G611,G3670,0.926
G611,G3715,0.707
G611,G3720,0.669
G611,G3802,0.693
G611,G3837,0.68
G611,G3901,0.675
G611,G3909,0.671
G611,G3990,0.667
G611,G4007,0.851
G611,G4160,0.727
G611,G4183,0.69
G611,G4254,0.699
G611,G4295,0.674
G611,G4421,0.783
G611,G4473,0.776
G611,G4475,0.691
G614,G3920,0.68
G616,G1765,0.679
G616,G2984,0.67
G616,G3333,0.755
G617,G752,0.696
G617,G1052,0.728
G617,G3555,0.715
G618,G2351,0.701
G619,G650,0.838
G619,G700,0.724
G619,G1027,0.731
G619,G1087,0.88
G619,G1256,0.68
G619,G1316,0.697
G619,G1370,0.712
G619,G1672,0.671
G619,G1842,0.771
G619,G1906,0.733
G619,G1969,0.768
G619,G1990,0.855
G619,G2091,0.673
G619,G2203,0.669
G619,G2445,0.668
G619,G2513,0.679
G619,G2613,0.667
G619,G2774,0.675
G619,G2845,0.693
G619,G2957,0.683
G619,G3114,0.749
G619,G3144,0.891
G619,G3294,0.777
G619,G3622,0.726
G619,G3806,0.712
G619,G3813,0.76
G619,G3829,0.737
G619,G4019,0.705
G619,G4086,0.708
G619,G4117,0.879
G619,G4299,0.746
G619,G4400,0.723
G619,G4476,0.7
G619,G4488,0.672
G620,G652,0.671
G620,G739,0.717
G620,G794,0.724
G620,G1273,0.707
G620,G1321,0.727
G620,G1347,0.684
G620,G1540,0.717
G620,G1624,0.719
G620,G1676,0.733
G620,G1820,0.723
G620,G1838,0.711
G620,G1920,0.676
G620,G2049,0.682
G620,G2230,0.806
G620,G2405,0.676
G620,G2415,0.697
G620,G2425,0.754
G620,G2593,0.683
G620,G2816,0.673
G620,G2827,0.698
G620,G2995,0.675
G620,G3103,0.67
G620,G3182,0.75
G620,G3211,0.673
G620,G3410,0.686
G620,G3501,0.72
G620,G3545,0.687
G620,G3666,0.695
G620,G3744,0.681
G620,G3763,0.723
G620,G3784,0.672
G620,G3946,0.684
G620,G3969,0.676
G620,G4031,0.725
G620,G4038,0.706
G620,G4108,0.681
G620,G4210,0.705
G620,G4319,0.69
G620,G4353,0.668
G620,G4418,0.724
G620,G4468,0.733
G621,G1032,0.687
G622,G758,0.672
G622,G768,0.682
G622,G772,0.745
G622,G825,0.669
G622,G833,0.701
G622,G834,0.669
G622,G863,0.738
G622,G865,0.701
G622,G885,0.693
G622,G906,0.694
G622,G987,0.674
G622,G1257,0.702
G622,G1281,0.74
G622,G1306,0.723
G622,G1312,0.686
G622,G1352,0.71
G622,G1371,0.78
G622,G1395,0.713
G622,G1533,0.692
G622,G1537,0.703
G622,G1540,0.712
G622,G1581,0.68
G622,G1587,0.83
G622,G1623,0.705
G622,G1712,0.729
G622,G1772,0.68
G622,G1775,0.697
G622,G1811,0.671
G622,G1812,0.705
G622,G1813,0.79
G622,G1838,0.717
G622,G1888,0.68
G622,G1902,0.77
G622,G1909,0.685
G622,G1935,0.684
G622,G1988,0.669
G622,G2038,0.837
G622,G2153,0.667
G622,G2162,0.761
G622,G2186,0.696
G622,G2192,0.705
G622,G2251,0.717
G622,G2294,0.756
G622,G2389,0.697
G622,G2405,0.777
G622,G2419,0.681
G622,G2428,0.74
G622,G2593,0.731
G622,G2600,0.718
G622,G2635,0.709
G622,G2702,0.68
G622,G2827,0.784
G622,G2925,0.83
G622,G2932,0.725
G622,G2992,0.683
G622,G3016,0.737
G622,G3049,0.672
G622,G3100,0.735
G622,G3107,0.773
G622,G3190,0.747
G622,G3211,0.725
G622,G3389,0.678
G622,G3410,0.685
G622,G3465,0.692
G622,G3473,0.774
G622,G3500,0.73
G622,G3501,0.667
G622,G3544,0.753
G622,G3545,0.732
G622,G3669,0.706
G622,G3763,0.691
G622,G3907,0.667
G622,G3934,0.736
G622,G3969,0.694
G622,G3993,0.672
G622,G4031,0.743
G622,G4108,0.673
G622,G4111,0.671
G622,G4122,0.668
G622,G4319,0.779
G622,G4321,0.707
G622,G4353,0.679
G622,G4359,0.708
G622,G4370,0.7
G622,G4392,0.667
G622,G4399,0.71
G622,G4412,0.685
G622,G4433,0.7
G622,G4482,0.704
G623,G1059,0.753
G625,G627,0.727
G625,G672,0.678
G625,G751,0.695
G625,G909,0.668
G625,G993,0.671
G625,G1022,0.733
G625,G1025,0.698
G625,G1084,0.673
G625,G1163,0.747
G625,G1317,0.696
G625,G1515,0.781
G625,G1679,0.722
G625,G1817,0.759
G625,G1820,0.761
G625,G1878,0.684
G625,G1955,0.686
G625,G2019,0.696
G625,G2186,0.751
G625,G2295,0.694
G625,G2351,0.723
G625,G2686,0.726
G625,G2842,0.682
G625,G2867,0.678
G625,G3103,0.701
G625,G3217,0.738
G625,G3501,0.723
G625,G3694,0.739
G625,G3744,0.679
G625,G3758,0.691
G625,G3760,0.708
G625,G3809,0.76
G625,G3900,0.681
G625,G3923,0.732
G625,G4333,0.712
G627,G751,0.773
G627,G825,0.675
G627,G909,0.708
G627,G926,0.719
G627,G964,0.759
G627,G983,0.694
G627,G1005,0.713
G627,G1084,0.674
G627,G1163,0.68
G627,G1355,0.684
G627,G1515,0.677
G627,G1679,0.68
G627,G1817,0.741
G627,G1820,0.783
G627,G2151,0.719
G627,G2186,0.779
G627,G2230,0.704
G627,G2288,0.751
G627,G2295,0.724
G627,G2415,0.708
G627,G2425,0.696
G627,G2686,0.729
G627,G2762,0.679
G627,G2842,0.731
G627,G3103,0.753
G627,G3217,0.776
G627,G3501,0.738
G627,G3580,0.686
G627,G3666,0.683
G627,G3694,0.713
G627,G3744,0.699
G627,G3746,0.728
G627,G3774,0.704
G627,G3796,0.68
G627,G3809,0.674
G627,G3855,0.671
G627,G3923,0.733
G627,G3946,0.706
G627,G4004,0.691
G627,G4037,0.672
G627,G4247,0.731
G627,G4333,0.716
G627,G4418,0.705
G627,G4468,0.694
G628,G1980,0.685
G629,G775,0.678
G629,G894,0.726
G629,G4075,0.675
G629,G4461,0.682
G630,G2332,0.713
G634,G970,0.669
G635,G804,0.68
G635,G1227,0.667
G635,G1487,0.689
G635,G1780,0.701
G635,G1986,0.703
G635,G2329,0.704
G635,G2344,0.674
G635,G2418,0.671
G635,G2579,0.676
G635,G2653,0.691
G635,G2771,0.687
G635,G2902,0.675
G635,G2927,0.674
G635,G3715,0.703
G635,G3762,0.674
G635,G3791,0.672
G635,G3909,0.684
G635,G4103,0.676
G635,G4160,0.674
G635,G4163,0.672
G635,G4295,0.674
G635,G4407,0.748
G635,G4421,0.722
G636,G675,0.739
G636,G770,0.675
G636,G804,0.733
G636,G960,0.697
G636,G982,0.736
G636,G992,0.756
G636,G1004,0.676
G636,G1009,0.675
G636,G1023,0.696
G636,G1138,0.681
G636,G1173,0.673
G636,G1184,0.672
G636,G1192,0.701
G636,G1263,0.691
G636,G1301,0.722
G636,G1310,0.729
G636,G1315,0.775
G636,G1318,0.698
G636,G1422,0.738
G636,G1423,0.671
G636,G1460,0.711
G636,G1465,0.717
G636,G1487,0.734
G636,G1544,0.736
G636,G1546,0.733
G636,G1613,0.694
G636,G1749,0.708
G636,G1784,0.765
G636,G1914,0.686
G636,G1934,0.686
G636,G1965,0.682
G636,G2086,0.703
G636,G2138,0.693
G636,G2159,0.703
G636,G2256,0.71
G636,G2259,0.729
G636,G2386,0.693
G636,G2390,0.685
G636,G2434,0.707
G636,G2452,0.704
G636,G2476,0.681
G636,G2495,0.667
G636,G2509,0.773
G636,G2579,0.75
G636,G2591,0.678
G636,G2648,0.667
G636,G2683,0.723
G636,G2853,0.708
G636,G2902,0.698
G636,G2993,0.751
G636,G3009,0.713
G636,G3055,0.675
G636,G3136,0.734
G636,G3193,0.682
G636,G3300,0.685
G636,G3322,0.708
G636,G3420,0.668
G636,G3456,0.805
G636,G3517,0.67
G636,G3571,0.671
G636,G3594,0.675
G636,G3634,0.747
G636,G3718,0.682
G636,G3724,0.671
G636,G3791,0.755
G636,G3845,0.733
G636,G3901,0.677
G636,G3975,0.72
G636,G4103,0.684
G636,G4160,0.679
G636,G4189,0.712
G636,G4219,0.691
G636,G4254,0.722
G636,G4295,0.684
G636,G4388,0.703
G636,G4406,0.748
G636,G4421,0.676
G636,G4475,0.689
G636,G4486,0.759
G639,G776,0.876
G639,G835,0.883
G639,G840,0.714
G639,G884,0.967
G639,G911,0.747
G639,G1339,0.904
G639,G1408,0.899
G639,G1457,0.906
G639,G1462,0.884
G639,G1777,0.803
G639,G1815,0.958
G639,G1847,0.895
G639,G1903,0.782
G639,G2074,0.727
G639,G2150,0.899
G639,G2174,0.828
G639,G2327,0.915
G639,G2450,0.854
G639,G2525,0.897
G639,G2677,0.952
G639,G2723,0.905
G639,G2744,0.934
G639,G2760,0.857
G639,G2808,0.883
G639,G2837,0.826
G639,G2871,0.901
G639,G2930,0.777
G639,G3022,0.872
G639,G3057,0.685
G639,G3058,0.79
G639,G3201,0.927
G639,G3252,0.886
G639,G3385,0.938
G639,G3403,0.725
G639,G3435,0.875
G639,G3468,0.821
G639,G3472,0.844
G639,G3630,0.884
G639,G3647,0.921
G639,G3675,0.846
G639,G3679,0.812
G639,G3843,0.872
G639,G3891,0.72
G639,G3957,0.921
G639,G4109,0.847
G639,G4119,0.854
